Model,Venue,TotalScore↑,Aesthetics↑,Motion↑,FaceSim↑,GmeScore↑,NexusScore↑,NaturalScore↑
[Vidu2.0(20250503)](https://www.vidu.cn/),Closed-Source,48.67%,34.78%,24.40%,36.20%,65.56%,45.20%,72.60%
[Pika2.1(20250503)](https://pika.art/),Closed-Source,48.93%,38.64%,31.90%,32.94%,62.19%,47.34%,70.60%
[Kling1.6(20250503)](https://app.klingai.com/cn/),Closed-Source,53.12%,35.63%,36.40%,39.26%,61.99%,48.24%,81.40%
[VACE-P1.3B](https://github.com/ali-vilab/VACE),Open-Source,44.28%,42.58%,18.00%,18.02%,65.93%,36.26%,76.00%
[VACE-1.3B](https://github.com/ali-vilab/VACE),Open-Source,47.33%,41.81%,33.78%,22.38%,65.35%,38.52%,76.00%
[VACE-14B](https://github.com/ali-vilab/VACE),Open-Source,58.00%,41.30%,35.54%,64.65%,58.55%,51.33%,77.33%
[Phantom-1.3B](https://github.com/Phantom-video/Phantom),Open-Source,49.95%,42.98%,19.30%,44.03%,65.61%,37.78%,76.00%
[SkyReels-A2-P14B](https://github.com/SkyworkAI/SkyReels-V2),Open-Source,51.64%,33.83%,21.60%,54.42%,61.93%,48.63%,70.60%
[HunyuanCustom](https://github.com/Tencent-Hunyuan/HunyuanCustom),Open-Source,51.64%,34.08%,26.83%,55.93%,54.31%,50.75%,68.66%
